Unnamed: 0,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
76,GP,F,17,U,GT3,T,4,4,health,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,4,3,2,4,5,6.0,14,15,15
77,GP,M,17,U,GT3,T,1,2,at_home,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,3,4,5.0,10,9,11
78,GP,M,17,R,LE3,T,3,1,services,at_home,course,mother,1,2,1,no,yes,no,no,yes,no,yes,yes,5,2,2,1,2,2,1.0,9,9,10
79,GP,F,18,R,GT3,T,1,1,other,other,home,mother,2,2,0,yes,no,no,no,yes,no,yes,yes,2,2,4,1,1,2,1.0,12,13,14
80,GP,F,17,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,1,yes,no,no,no,yes,yes,yes,no,2,3,2,1,4,4,5.0,13,13,13
81,MS,F,18,U,LE3,A,2,2,at_home,other,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,yes,4,3,4,1,1,5,5.0,10,11,12
82,MS,F,15,R,GT3,T,1,1,other,at_home,course,mother,3,1,0,yes,yes,no,no,yes,yes,yes,yes,4,4,3,1,1,3,4.0,7,8,7
83,GP,M,19,R,GT3,A,2,1,other,other,reputation,other,1,2,0,no,yes,no,yes,yes,yes,no,yes,3,1,3,1,1,3,15.0,10,11,10
84,MS,F,20,R,GT3,T,2,2,at_home,services,course,other,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,4,1,5,3,1,2,4.0,9,10,11
85,GP,M,16,U,GT3,T,4,3,teacher,other,reputation,father,1,3,0,no,yes,no,no,yes,yes,yes,yes,5,2,4,2,1,4,4.0,14,15,15
86,GP,M,15,U,GT3,T,3,1,other,services,course,father,2,2,0,no,no,no,yes,yes,yes,yes,no,4,1,5,1,1,4,1.0,9,8,10
87,MS,M,16,R,GT3,T,2,2,at_home,other,home,mother,2,2,0,no,yes,no,no,no,yes,yes,no,4,3,2,4,2,2,5.0,12,12,13
88,MS,M,15,R,GT3,T,3,3,teacher,services,home,mother,3,4,0,no,no,no,yes,yes,yes,no,no,4,1,3,1,3,5,14.0,7,7,0
89,GP,F,15,R,GT3,T,3,2,other,services,course,mother,2,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,2,2,3,1.0,13,12,12
90,GP,F,16,U,GT3,T,2,2,services,services,reputation,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,3,1,5,2,3.0,13,14,14
91,GP,F,18,U,GT3,T,2,2,other,other,reputation,mother,2,1,0,yes,yes,no,yes,yes,yes,yes,no,5,4,5,1,2,1,1.0,16,16,16
92,GP,F,17,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,1,1,4,6.0,13,12,14
93,GP,F,17,R,LE3,T,4,2,services,other,home,mother,2,4,0,yes,no,no,yes,yes,yes,yes,no,3,3,2,1,1,5,4.0,13,14,15
94,MS,F,17,R,LE3,T,2,2,other,services,course,mother,1,3,0,yes,yes,no,no,no,yes,yes,no,3,4,1,1,4,3,2.0,10,13,13
95,MS,F,19,U,LE3,T,4,3,teacher,services,course,father,1,2,3,yes,yes,no,no,yes,yes,yes,no,4,4,3,1,1,5,9.0,7,6,8
96,GP,F,20,U,GT3,T,3,2,services,other,home,other,1,2,2,yes,yes,no,yes,yes,yes,yes,yes,4,2,5,2,5,5,11.0,11,10,11
97,GP,F,17,U,GT3,A,1,1,at_home,services,home,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,4,5,3,2,1,5,0.0,14,13,13
98,GP,M,15,R,GT3,T,2,2,other,services,other,mother,2,2,0,no,yes,no,yes,no,yes,yes,no,4,3,3,1,2,3,11.0,12,12,12
99,GP,M,16,U,GT3,T,4,4,other,at_home,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,4,5,3,1,1,2,2.0,12,13,14
100,GP,F,18,U,GT3,T,4,4,services,services,course,mother,2,3,0,yes,yes,no,yes,yes,no,yes,yes,4,4,4,1,1,1,4.0,11,11,11
101,MS,F,15,U,LE3,T,3,3,other,other,other,mother,2,1,0,yes,no,no,no,yes,yes,yes,yes,5,4,3,1,3,5,1.0,10,9,11
102,GP,M,17,U,GT3,T,2,1,services,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,1,2,1,1,5,0.0,15,16,17
103,GP,M,15,U,GT3,T,4,2,services,other,course,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,1,1,3,1,3,4,8.0,16,16,16
104,GP,M,16,U,GT3,T,3,4,services,teacher,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,5,5,3.0,13,13,13
105,GP,F,15,U,GT3,T,3,3,services,other,course,mother,2,2,0,yes,no,no,yes,yes,yes,yes,yes,4,3,2,1,1,4,0.0,12,13,12
106,MS,M,16,U,GT3,T,2,2,services,services,other,mother,1,4,0,no,no,no,yes,yes,yes,no,no,5,3,2,1,1,5,1.0,14,13,14
107,GP,M,15,U,GT3,T,3,2,services,services,other,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,5,3,2,1,1,5,5.0,12,11,11
108,GP,F,17,U,GT3,T,2,2,services,other,course,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,4,2,4,1,3,2,6.0,12,11,11
109,GP,M,16,U,GT3,T,1,2,health,other,home,mother,1,1,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,2,4,5.0,12,12,12
110,GP,F,16,U,GT3,T,1,1,other,services,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,1,1,0.0,12,12,13
111,GP,M,15,U,GT3,T,4,3,health,other,home,mother,2,3,0,no,no,no,yes,no,yes,yes,yes,4,3,3,2,1,2,1.0,16,16,16
112,GP,F,17,U,GT3,T,3,3,other,other,course,mother,1,2,0,yes,yes,no,yes,no,yes,yes,yes,4,3,3,1,1,4,2.0,17,17,18
113,MS,M,19,U,GT3,A,3,3,services,other,home,other,2,2,3,no,yes,no,no,yes,yes,yes,yes,4,5,5,1,3,2,3.0,8,10,11
114,GP,F,16,U,GT3,T,2,3,services,services,reputation,mother,1,2,0,yes,yes,no,yes,yes,no,yes,no,4,2,2,2,1,3,5.0,9,10,10
115,GP,F,18,U,GT3,T,1,1,at_home,other,reputation,father,2,2,0,yes,yes,no,no,yes,yes,yes,no,3,4,5,1,3,1,10.0,12,11,12
116,GP,F,17,R,LE3,A,3,3,other,other,course,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4,3,1,1,3,3,1.0,10,11,12
117,GP,M,18,R,GT3,A,1,3,at_home,other,reputation,father,2,4,0,no,no,no,yes,yes,yes,yes,yes,4,2,5,1,3,3,24.0,9,8,8
118,GP,F,18,U,GT3,T,1,1,services,services,reputation,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,4,2,3,1,1,5,3.0,10,11,10
119,GP,M,21,U,GT3,T,1,1,at_home,other,reputation,other,1,3,2,no,no,no,yes,no,yes,yes,no,4,3,1,1,2,5,9.0,11,12,13
120,MS,M,19,R,LE3,T,1,1,other,other,other,other,3,2,1,no,no,no,yes,yes,yes,no,no,5,5,4,1,3,1,4.0,4,0,0
121,MS,F,18,R,LE3,A,4,2,at_home,other,course,mother,1,1,0,yes,yes,no,no,no,no,yes,no,4,5,4,1,2,3,9.0,8,8,9
122,GP,F,18,U,GT3,T,3,2,services,other,course,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,4,3,1,1,5,1.0,12,12,12
123,GP,M,17,U,LE3,T,4,3,teacher,other,other,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,2,3,2,6.0,11,11,11
124,MS,M,17,R,GT3,T,4,3,teacher,other,course,mother,3,1,1,no,no,no,no,yes,yes,yes,no,5,4,2,1,4,1,0.0,9,10,11
125,GP,F,17,U,LE3,T,3,2,services,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,3,2,1,4,5,0.0,12,12,12
126,GP,F,15,U,GT3,T,4,1,health,services,home,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,4,2,5,1,2,5,6.0,14,12,12
127,MS,F,17,R,GT3,T,2,2,other,other,reputation,mother,1,4,0,yes,no,no,no,no,yes,no,no,5,3,2,1,3,2,0.0,13,14,15
128,GP,M,17,R,GT3,A,4,3,services,other,course,mother,2,3,0,no,yes,no,yes,no,yes,yes,yes,4,2,5,1,1,5,0.0,12,12,12
129,GP,F,18,U,LE3,A,3,3,services,services,reputation,mother,1,1,0,yes,yes,no,no,yes,no,yes,no,2,3,3,1,3,5,0.0,11,11,11
130,GP,F,16,U,GT3,T,1,1,at_home,services,course,mother,1,2,1,yes,no,no,yes,yes,yes,yes,yes,4,4,2,1,1,5,1.0,8,9,9
131,GP,F,16,U,GT3,A,1,2,at_home,other,course,mother,2,2,0,yes,yes,no,no,yes,yes,no,yes,5,3,3,1,4,5,6.0,12,13,14
132,GP,M,16,U,GT3,T,2,2,services,other,course,mother,1,3,0,no,yes,no,no,yes,no,yes,no,4,2,2,1,1,3,0.0,12,10,11
133,GP,F,16,U,GT3,T,2,3,other,at_home,reputation,father,1,3,0,yes,yes,no,no,yes,yes,yes,yes,4,3,2,1,1,5,1.0,11,10,10
134,MS,M,18,R,GT3,T,4,3,other,other,course,mother,1,2,1,no,yes,no,yes,yes,yes,yes,yes,2,4,5,5,3,5,11.0,10,10,11
135,GP,M,18,U,LE3,T,1,1,at_home,other,home,mother,2,3,2,no,no,no,yes,no,no,yes,no,5,5,3,1,3,4,0.0,9,10,9
136,GP,F,17,U,GT3,T,4,4,services,other,reputation,mother,1,1,0,yes,no,no,yes,yes,yes,yes,no,3,3,3,1,1,4,0.0,16,17,17
137,GP,F,17,R,GT3,T,4,1,health,other,home,mother,2,1,0,yes,yes,no,yes,yes,yes,yes,yes,2,3,3,1,4,5,7.0,12,11,11
138,GP,F,17,U,LE3,T,4,4,services,services,home,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,yes,4,4,2,2,3,1,5.0,14,15,17
139,GP,F,18,R,LE3,T,4,4,health,services,reputation,mother,3,1,0,yes,yes,no,no,yes,yes,no,yes,1,2,4,2,1,2,0.0,17,17,17
140,MS,M,16,U,GT3,T,3,1,other,at_home,course,mother,1,2,1,no,no,no,yes,no,yes,yes,no,4,3,3,1,3,2,1.0,10,11,11
141,MS,M,18,U,LE3,A,2,2,other,services,course,other,2,2,0,no,yes,yes,no,yes,no,yes,no,4,3,4,1,1,3,2.0,9,7,8
142,GP,M,16,U,LE3,T,3,3,at_home,other,reputation,father,1,2,0,no,no,no,no,yes,yes,no,no,4,3,5,2,2,1,0.0,10,11,12
143,MS,M,18,U,GT3,T,1,1,other,services,course,mother,2,3,0,no,no,no,yes,yes,yes,no,no,5,3,3,1,1,5,2.0,17,18,18
144,MS,M,18,U,GT3,T,2,1,other,services,course,father,1,2,0,no,yes,no,yes,yes,no,yes,no,4,5,3,1,3,3,21.0,9,10,10
145,MS,M,15,U,GT3,T,2,2,services,other,course,mother,1,2,1,no,yes,no,yes,no,yes,no,yes,4,3,3,1,4,4,10.0,5,8,0
146,GP,F,17,U,LE3,T,2,2,other,services,course,mother,1,1,0,yes,no,no,no,no,yes,yes,yes,1,1,1,1,4,4,1.0,9,10,11
147,GP,F,17,U,LE3,T,2,2,services,services,course,mother,2,2,0,yes,yes,no,yes,yes,yes,yes,no,2,4,4,1,1,4,5.0,13,12,13
148,GP,M,18,R,GT3,A,4,4,at_home,health,course,mother,2,2,0,no,no,no,yes,no,yes,yes,yes,5,4,4,1,1,5,5.0,15,16,16
149,GP,M,16,U,GT3,T,3,3,services,other,reputation,mother,1,2,0,no,no,no,yes,no,yes,no,no,5,2,4,1,2,3,8.0,10,13,13
150,GP,M,16,U,GT3,T,1,3,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,3,3,2,1,5,1.0,12,11,12
151,GP,F,15,U,GT3,T,4,4,health,other,home,mother,2,2,0,yes,no,no,yes,yes,yes,yes,no,4,2,2,1,3,2,2.0,14,13,13
152,GP,F,17,R,GT3,T,4,2,other,other,course,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,yes,3,2,4,2,1,3,2.0,8,9,9
153,GP,M,15,U,GT3,T,1,1,other,other,home,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,3,4,2,1,5,1.0,12,12,12
154,MS,M,17,U,LE3,T,4,4,teacher,other,course,mother,1,4,1,no,no,no,no,yes,no,yes,no,4,1,5,1,5,5,3.0,4,0,0
155,GP,M,18,U,GT3,T,3,3,other,services,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,2,2,5,1.0,15,12,13
156,GP,F,18,U,LE3,A,2,3,other,other,home,other,2,2,0,yes,no,no,yes,no,yes,yes,yes,5,2,5,1,1,5,0.0,9,10,10
157,GP,F,18,R,GT3,T,2,2,services,other,other,other,2,2,0,yes,no,no,yes,no,yes,yes,yes,4,3,3,1,1,3,11.0,13,13,10
158,GP,M,15,U,LE3,T,3,3,other,services,home,father,3,2,0,no,no,no,no,yes,yes,yes,no,4,1,3,1,2,5,1.0,13,13,13
159,GP,F,17,U,GT3,T,2,2,services,other,course,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,3,5,1,1,5,8.0,13,14,15
160,GP,F,16,R,GT3,T,3,4,services,other,course,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,5,5,2,1,4,2.0,10,12,14
161,MS,F,17,R,GT3,T,2,1,at_home,other,home,mother,2,1,0,yes,no,no,no,yes,yes,no,no,3,3,3,1,1,1,9.0,10,9,10
162,GP,F,17,U,GT3,T,3,1,services,other,home,father,4,1,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,5,1,1,5,6.0,17,16,16
163,GP,F,16,U,GT3,A,2,1,other,other,course,other,3,3,0,yes,no,no,yes,yes,yes,yes,yes,4,4,3,2,1,5,4.0,11,12,13
164,GP,M,18,R,GT3,T,2,2,services,services,home,mother,2,1,0,no,no,no,yes,yes,yes,no,yes,3,3,4,1,1,1,4.0,14,13,13
165,GP,M,18,U,LE3,T,2,2,other,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,3,1,1,3,4.0,13,12,12
166,GP,F,16,U,LE3,T,3,4,at_home,other,reputation,father,1,4,0,yes,yes,no,no,yes,yes,yes,no,3,1,4,3,3,5,5.0,15,16,16
167,GP,F,16,U,GT3,T,4,1,other,other,home,father,2,2,0,yes,no,no,no,yes,yes,yes,no,4,5,4,1,2,4,5.0,14,15,16
168,MS,F,17,U,GT3,T,1,1,at_home,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,2,1,2,1,3,4.0,15,15,15
169,GP,F,16,U,GT3,T,2,1,services,other,course,mother,1,3,0,yes,yes,no,no,no,yes,yes,no,3,1,3,3,4,1,8.0,15,14,15
170,MS,F,16,U,GT3,T,2,1,other,other,course,father,1,4,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,2,3,11.0,12,11,11
171,MS,M,17,U,LE3,T,4,3,health,other,course,mother,1,3,0,no,no,no,no,yes,yes,no,no,4,5,4,1,1,3,13.0,12,13,14
