Unnamed: 0,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
20,GP,F,18,U,GT3,T,2,2,services,services,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,2,4,4,2,4,2.0,10,11,11
21,GP,F,17,U,LE3,T,2,1,at_home,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,2,3,5,3,1,4.0,13,13,14
22,GP,F,16,U,GT3,T,2,2,other,services,reputation,mother,2,1,1,yes,no,no,no,no,yes,yes,no,5,2,4,2,2,3,1.0,8,9,8
23,MS,M,17,U,GT3,T,3,1,services,other,course,mother,1,4,1,no,no,no,yes,yes,yes,yes,no,5,4,3,2,1,5,6.0,9,8,10
24,MS,M,18,U,LE3,A,2,2,other,other,other,father,1,2,0,no,no,no,no,yes,no,yes,no,3,3,2,1,5,1,2.0,8,8,8
25,GP,F,18,U,GT3,T,2,2,other,services,course,mother,1,2,0,no,yes,no,yes,no,yes,yes,yes,3,5,4,1,5,5,5.0,14,15,15
26,GP,F,15,U,LE3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,1,2,2,1,5,1.0,13,12,13
27,GP,M,18,U,GT3,T,4,4,teacher,health,home,mother,3,1,0,no,no,no,yes,no,yes,yes,no,3,4,2,1,1,5,3.0,12,13,13
28,GP,M,17,U,GT3,T,1,1,at_home,other,home,mother,1,1,0,no,no,no,yes,yes,yes,no,yes,4,5,4,1,3,1,1.0,13,12,12
29,GP,F,17,U,GT3,T,2,2,other,other,course,mother,1,2,1,no,yes,no,no,yes,yes,yes,no,4,5,4,1,1,5,10.0,10,11,11
30,GP,M,16,U,GT3,T,1,1,other,services,home,mother,1,4,0,no,yes,no,no,yes,no,yes,no,5,2,4,1,2,5,1.0,9,10,10
31,GP,F,18,R,GT3,T,1,2,at_home,services,course,other,3,2,0,no,yes,no,yes,yes,yes,yes,yes,5,1,5,1,3,2,13.0,14,14,15
32,GP,F,17,U,GT3,T,4,4,teacher,other,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,5,3,2,5,5,8.0,12,12,13
33,GP,M,16,U,GT3,T,2,1,other,other,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,5,1,2,4,1.0,12,10,11
34,GP,F,17,U,GT3,T,1,4,at_home,services,home,mother,1,2,3,no,yes,no,no,yes,yes,yes,no,5,3,3,1,1,4,1.0,10,11,11
35,GP,M,15,U,GT3,T,3,3,other,other,reputation,mother,1,1,0,yes,no,no,yes,yes,yes,yes,no,4,2,3,2,3,1,0.0,13,13,14
36,GP,M,17,R,GT3,T,2,4,at_home,health,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,no,4,1,3,2,1,5,1.0,15,15,16
37,GP,F,15,U,GT3,A,3,1,other,other,home,mother,2,3,1,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,5,4,5.0,7,9,10
38,MS,F,15,R,LE3,T,2,1,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,no,no,4,4,5,1,1,3,3.0,12,10,11
39,MS,F,16,R,GT3,A,2,2,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,no,yes,3,5,3,1,1,1,30.0,10,11,12
40,GP,F,16,U,GT3,T,3,2,other,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,5,2,1,1,5,8.0,14,15,15
41,GP,F,15,U,GT3,T,2,3,services,other,reputation,father,2,1,0,no,yes,no,no,yes,yes,yes,yes,4,4,5,1,3,3,10.0,14,15,15
42,GP,F,18,R,GT3,T,3,1,at_home,other,home,other,3,1,0,no,no,no,yes,yes,yes,yes,yes,4,4,3,1,1,2,5.0,13,11,11
43,GP,F,15,U,GT3,T,2,1,services,services,home,mother,1,2,0,no,no,no,no,yes,yes,no,yes,3,5,3,1,4,3,4.0,12,11,12
44,GP,M,16,U,GT3,T,2,1,at_home,other,home,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,5,1,4,2,12.0,13,12,12
45,GP,F,15,U,GT3,T,1,1,other,other,reputation,father,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,5,3,3,1,4,3,1.0,14,17,17
46,MS,M,16,R,LE3,T,2,3,at_home,services,course,father,2,3,0,no,yes,no,no,yes,yes,yes,yes,5,2,4,2,1,4,2.0,15,16,16
47,GP,M,15,U,LE3,T,1,1,other,other,reputation,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,2,2,2,4,5,1.0,12,11,11
48,GP,M,19,U,GT3,T,1,1,at_home,other,home,mother,1,4,0,no,no,no,no,yes,yes,yes,no,4,4,2,1,1,1,5.0,14,14,15
49,GP,M,16,U,GT3,T,4,4,teacher,at_home,reputation,father,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,4,1,5,4,3.0,12,13,13
50,GP,F,17,U,GT3,T,4,4,teacher,health,reputation,mother,1,1,1,no,no,no,yes,yes,yes,yes,no,4,2,4,2,2,4,1.0,8,9,10
51,MS,F,16,R,GT3,T,2,3,services,at_home,course,father,2,1,1,no,yes,no,no,yes,yes,yes,yes,3,2,3,1,1,5,2.0,8,8,8
52,GP,F,16,U,LE3,T,4,1,health,other,course,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,3,7.0,14,13,14
53,GP,F,17,R,GT3,T,4,4,health,services,course,mother,2,2,0,no,yes,yes,no,no,yes,no,yes,5,2,4,5,1,2,5.0,10,9,11
54,MS,F,16,U,LE3,A,1,2,other,other,course,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,2,4,3,2,2,5,1.0,16,16,17
55,GP,M,17,U,GT3,T,4,3,other,other,reputation,mother,1,3,1,no,yes,no,no,yes,yes,yes,no,5,3,5,1,2,5,5.0,11,11,11
56,MS,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,5,2,5,3,4,3,0.0,10,11,11
57,GP,M,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,5,5,1,1,3,1.0,11,10,11
58,GP,F,18,U,LE3,T,3,3,services,services,course,mother,1,2,0,yes,yes,no,no,yes,no,yes,yes,3,3,3,1,4,5,1.0,11,11,11
59,GP,M,15,U,LE3,T,2,1,other,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,5,3,1.0,9,11,11
60,MS,F,16,U,GT3,T,1,1,at_home,other,course,mother,1,4,0,no,yes,no,no,yes,yes,no,no,4,4,2,1,1,1,6.0,16,16,17
61,GP,F,17,R,GT3,T,1,2,at_home,services,reputation,mother,1,2,0,no,no,no,no,yes,yes,no,yes,4,5,3,1,2,5,1.0,14,12,13
62,MS,F,17,R,LE3,T,2,3,other,at_home,home,mother,3,3,0,no,yes,no,yes,yes,yes,no,no,5,5,3,1,1,1,6.0,8,8,7
63,MS,F,18,R,GT3,T,3,2,services,other,other,mother,4,2,0,no,yes,no,no,yes,yes,yes,yes,5,2,4,2,4,5,1.0,10,10,11
64,GP,F,17,U,GT3,T,0,1,other,other,home,father,1,1,0,no,yes,no,no,yes,yes,yes,no,4,3,3,3,1,3,1.0,14,13,13
65,MS,F,17,R,GT3,T,4,4,health,teacher,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,3,2,1,5,1.0,16,18,18
66,MS,M,17,U,GT3,T,1,2,other,services,other,mother,3,1,1,no,no,no,yes,no,no,yes,no,3,4,2,1,1,2,11.0,8,9,8
67,MS,M,18,R,LE3,T,1,1,other,other,course,mother,2,3,1,no,no,no,no,yes,no,no,no,4,2,3,2,4,1,1.0,9,9,10
68,GP,M,17,R,GT3,T,2,2,other,other,reputation,mother,3,2,1,yes,no,no,yes,yes,yes,yes,no,4,1,4,1,3,4,3.0,14,16,17
69,GP,F,18,U,GT3,T,4,3,teacher,other,home,mother,2,1,0,no,yes,no,no,yes,yes,no,no,5,4,3,1,1,3,4.0,10,10,16
70,GP,M,15,U,LE3,A,1,0,health,other,home,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,4,3,3,3,3,2.0,12,11,12
71,GP,F,19,U,GT3,T,4,4,health,other,home,mother,2,2,0,no,no,no,no,yes,yes,yes,yes,5,3,3,2,1,5,3.0,14,16,15
72,GP,M,15,U,LE3,T,0,2,at_home,services,reputation,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,4,2,1,1,2,6.0,16,16,16
73,MS,F,19,U,LE3,T,3,3,services,other,course,mother,1,2,1,no,yes,no,yes,yes,yes,no,no,4,3,4,1,1,2,4.0,8,10,10
74,GP,M,16,U,GT3,T,4,4,services,other,reputation,mother,1,2,1,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,5,1,9.0,14,15,15
75,GP,F,18,U,GT3,T,4,4,teacher,other,reputation,mother,1,3,0,no,yes,yes,no,no,yes,yes,no,5,3,4,1,3,1,3.0,12,13,13
76,GP,F,18,U,GT3,T,4,4,health,teacher,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,3,2,4,5,6.0,11,12,14
77,GP,M,16,U,GT3,T,1,2,at_home,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,3,4,5.0,15,14,16
78,MS,M,18,U,GT3,T,3,1,services,at_home,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,5,2,2,1,2,2,1.0,17,18,17
79,GP,F,15,U,LE3,T,1,1,other,other,course,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,2,2,4,1,1,2,1.0,12,12,13
80,GP,F,17,U,LE3,A,4,4,teacher,teacher,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,2,3,2,1,4,4,5.0,12,12,15
81,MS,F,17,R,GT3,T,2,2,at_home,other,other,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,3,4,1,1,5,5.0,13,13,13
82,MS,F,17,R,GT3,T,1,1,other,at_home,course,mother,1,1,0,no,yes,no,no,yes,yes,no,yes,4,4,3,1,1,3,4.0,14,13,13
83,GP,M,18,U,GT3,T,2,1,other,other,home,mother,2,2,0,no,yes,no,yes,yes,no,yes,yes,3,1,3,1,1,3,15.0,8,9,9
84,GP,F,18,U,GT3,T,2,2,at_home,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,1,5,3,1,2,4.0,15,15,15
85,GP,M,19,U,GT3,T,4,3,teacher,other,home,mother,2,3,1,no,yes,no,no,yes,no,yes,no,5,2,4,2,1,4,4.0,9,9,8
86,GP,M,15,U,GT3,T,3,1,other,services,reputation,father,1,2,0,no,no,no,yes,yes,yes,no,no,4,1,5,1,1,4,1.0,12,12,13
87,GP,M,20,R,GT3,A,2,2,at_home,other,course,other,2,2,2,no,yes,no,no,no,no,yes,yes,4,3,2,4,2,2,5.0,9,10,10
88,MS,M,19,R,GT3,T,3,3,teacher,services,course,mother,3,4,0,no,no,no,yes,yes,no,yes,yes,4,1,3,1,3,5,14.0,10,9,11
89,GP,F,16,R,GT3,T,3,2,other,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,2,2,3,1.0,13,14,15
90,GP,F,15,U,GT3,T,2,2,services,services,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,5,2,3.0,15,14,15
91,GP,F,16,R,GT3,T,2,2,other,other,reputation,mother,2,1,0,no,yes,no,yes,yes,yes,no,yes,5,4,5,1,2,1,1.0,10,10,10
92,GP,F,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,1,4,6.0,15,15,16
93,GP,F,15,U,GT3,T,4,2,services,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,3,2,1,1,5,4.0,11,10,10
94,MS,F,16,U,LE3,T,2,2,other,services,home,mother,1,3,0,no,yes,no,no,yes,no,yes,yes,3,4,1,1,4,3,2.0,7,8,9
95,GP,F,18,R,LE3,T,4,3,teacher,services,course,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,4,4,3,1,1,5,9.0,14,13,13
96,MS,F,17,U,LE3,T,3,2,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,2,5,2,5,5,11.0,10,11,11
97,MS,F,17,R,GT3,T,1,1,at_home,services,course,mother,2,2,0,no,yes,no,no,yes,yes,no,yes,4,5,3,2,1,5,0.0,10,11,11
98,GP,M,17,U,GT3,T,2,2,other,services,reputation,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,3,1,2,3,11.0,13,14,15
99,MS,M,17,R,GT3,A,4,4,other,at_home,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,4,5,3,1,1,2,2.0,10,9,11
100,MS,F,15,R,GT3,T,4,4,services,services,home,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,4,1,1,1,4.0,12,12,13
101,MS,F,16,R,GT3,A,3,3,other,other,course,mother,3,1,0,no,no,no,no,yes,yes,yes,no,5,4,3,1,3,5,1.0,9,10,11
102,MS,M,18,R,GT3,T,2,1,services,other,course,father,1,2,0,no,yes,yes,yes,yes,yes,no,yes,5,1,2,1,1,5,0.0,10,11,12
103,MS,M,15,R,LE3,T,4,2,services,other,reputation,mother,3,3,0,no,yes,no,yes,yes,yes,yes,yes,1,1,3,1,3,4,8.0,13,14,15
104,MS,M,17,U,GT3,T,3,4,services,teacher,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,5,5,3.0,17,16,16
105,GP,F,15,U,GT3,T,3,3,services,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,2,1,1,4,0.0,13,14,14
106,MS,M,16,U,GT3,T,2,2,services,services,course,father,2,4,0,no,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,5,1.0,11,11,11
107,GP,M,15,U,GT3,T,3,2,services,services,course,mother,2,2,0,no,yes,no,yes,no,yes,yes,no,5,3,2,1,1,5,5.0,9,10,10
108,GP,F,16,R,GT3,T,2,2,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,4,1,3,2,6.0,14,14,14
109,GP,M,15,U,LE3,A,1,2,health,other,home,mother,1,1,0,no,yes,no,yes,yes,yes,no,yes,4,4,3,1,2,4,5.0,9,8,10
110,GP,F,17,U,GT3,T,1,1,other,services,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,2,2,2,1,1,1,0.0,14,13,14
111,MS,M,16,U,GT3,T,4,3,health,other,course,father,1,3,0,no,no,no,yes,yes,yes,no,no,4,3,3,2,1,2,1.0,12,12,12
112,GP,F,16,R,GT3,A,3,3,other,other,other,mother,2,2,0,no,yes,no,yes,no,yes,yes,no,4,3,3,1,1,4,2.0,14,14,15
113,GP,M,15,U,GT3,T,3,3,services,other,home,mother,2,2,0,no,yes,no,no,no,yes,yes,no,4,5,5,1,3,2,3.0,11,10,11
114,GP,F,17,U,LE3,A,2,3,services,services,course,mother,2,2,0,no,yes,no,yes,yes,yes,no,no,4,2,2,2,1,3,5.0,16,18,18
115,GP,F,16,U,GT3,T,1,1,at_home,other,home,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,3,4,5,1,3,1,10.0,14,14,15
116,GP,F,18,U,GT3,A,3,3,other,other,course,father,1,1,0,yes,yes,no,yes,yes,yes,yes,yes,4,3,1,1,3,3,1.0,13,12,12
117,MS,M,17,R,GT3,T,1,3,at_home,other,course,father,1,4,0,no,no,no,yes,yes,yes,no,no,4,2,5,1,3,3,24.0,14,13,13
118,MS,F,18,U,GT3,T,1,1,services,services,course,mother,1,2,0,no,no,no,yes,yes,yes,no,no,4,2,3,1,1,5,3.0,11,10,10
119,MS,M,19,R,GT3,T,1,1,at_home,other,course,mother,2,3,1,no,no,no,yes,yes,no,yes,no,4,3,1,1,2,5,9.0,9,10,11
120,MS,M,18,R,GT3,T,1,1,other,other,course,father,3,2,0,no,no,no,yes,no,yes,yes,no,5,5,4,1,3,1,4.0,12,11,12
121,GP,F,18,U,GT3,T,4,2,at_home,other,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,yes,4,5,4,1,2,3,9.0,11,13,14
122,GP,F,17,U,GT3,T,3,2,services,other,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,3,1,1,5,1.0,15,16,16
123,MS,M,17,U,LE3,T,4,3,teacher,other,course,mother,2,1,0,no,yes,no,yes,no,no,yes,no,4,4,2,2,3,2,6.0,12,12,13
124,MS,M,18,R,GT3,T,4,3,teacher,other,course,mother,2,1,1,no,no,no,no,yes,yes,no,yes,5,4,2,1,4,1,0.0,8,8,0
125,GP,F,15,U,LE3,T,3,2,services,other,other,mother,2,2,0,yes,no,no,yes,yes,yes,yes,yes,4,3,2,1,4,5,0.0,11,12,13
126,MS,F,17,U,GT3,T,4,1,health,services,other,mother,1,1,0,no,yes,no,no,no,yes,yes,no,4,2,5,1,2,5,6.0,12,13,13
127,MS,F,17,R,LE3,T,2,2,other,other,course,father,1,4,0,no,no,no,no,yes,yes,yes,no,5,3,2,1,3,2,0.0,18,18,17
128,GP,M,18,U,GT3,T,4,3,services,other,course,father,1,3,0,no,yes,no,yes,no,yes,yes,yes,4,2,5,1,1,5,0.0,11,10,11
129,MS,F,16,U,GT3,T,3,3,services,services,other,mother,4,1,0,yes,yes,no,no,yes,yes,yes,yes,2,3,3,1,3,5,0.0,9,10,10
130,GP,F,16,U,LE3,A,1,1,at_home,services,home,other,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,2,1,1,5,1.0,12,12,12
131,GP,F,16,U,GT3,A,1,2,at_home,other,reputation,father,2,2,0,no,yes,no,no,yes,yes,yes,no,5,3,3,1,4,5,6.0,12,11,12
132,MS,M,17,R,GT3,T,2,2,services,other,course,mother,2,3,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,3,0.0,17,18,17
133,MS,F,17,U,GT3,T,2,3,other,at_home,course,mother,4,3,1,no,yes,no,no,yes,yes,no,no,4,3,2,1,1,5,1.0,9,10,10
134,MS,M,16,U,GT3,T,4,3,other,other,reputation,father,2,2,1,no,yes,no,yes,yes,yes,no,no,2,4,5,5,3,5,11.0,7,7,0
135,GP,M,17,U,GT3,T,1,1,at_home,other,home,father,1,3,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,3,4,0.0,12,10,11
136,GP,F,17,U,LE3,A,4,4,services,other,course,mother,1,1,0,yes,no,no,yes,no,yes,yes,no,3,3,3,1,1,4,0.0,13,13,13
137,GP,F,18,U,LE3,T,4,1,health,other,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,2,3,3,1,4,5,7.0,17,18,19
138,GP,F,18,U,GT3,T,4,4,services,services,reputation,mother,2,1,0,no,yes,yes,yes,yes,no,yes,no,4,4,2,2,3,1,5.0,9,11,10
139,GP,F,16,R,GT3,T,4,4,health,services,course,mother,1,1,0,yes,yes,no,no,no,yes,yes,no,1,2,4,2,1,2,0.0,13,13,14
140,GP,M,18,R,LE3,T,3,1,other,at_home,reputation,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,3,2,1.0,11,11,10
141,GP,M,18,U,LE3,T,2,2,other,services,reputation,father,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,4,1,1,3,2.0,10,9,10
142,MS,M,16,R,GT3,T,3,3,at_home,other,other,father,2,2,1,no,no,no,no,yes,yes,no,no,4,3,5,2,2,1,0.0,10,11,11
143,GP,M,17,U,LE3,T,1,1,other,services,reputation,father,1,3,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2.0,15,15,15
144,MS,M,16,R,GT3,T,2,1,other,services,course,mother,2,2,1,no,yes,no,yes,yes,no,no,no,4,5,3,1,3,3,21.0,10,9,11
145,GP,M,17,U,GT3,T,2,2,services,other,course,mother,1,2,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,4,4,10.0,9,8,10
146,MS,F,18,U,GT3,T,2,2,other,services,other,mother,1,1,0,no,no,no,no,no,no,no,no,1,1,1,1,4,4,1.0,9,9,8
147,MS,F,16,U,LE3,T,2,2,services,services,course,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,2,4,4,1,1,4,5.0,14,13,14
148,GP,M,16,U,LE3,T,4,4,at_home,health,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,4,4,1,1,5,5.0,12,12,12
149,MS,M,15,R,GT3,T,3,3,services,other,other,mother,3,2,0,no,no,no,yes,no,yes,yes,no,5,2,4,1,2,3,8.0,10,11,10
150,GP,M,17,U,GT3,T,1,3,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,3,3,2,1,5,1.0,11,11,10
151,GP,F,15,U,GT3,T,4,4,health,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,3,2,2.0,11,9,10
152,MS,F,18,U,GT3,T,4,2,other,other,reputation,father,1,2,0,no,yes,yes,no,yes,yes,no,no,3,2,4,2,1,3,2.0,13,15,15
153,GP,M,18,R,GT3,T,1,1,other,other,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,2,1,5,1.0,15,15,15
154,MS,M,19,R,LE3,T,4,4,teacher,other,home,mother,1,4,1,no,no,no,no,yes,yes,no,no,4,1,5,1,5,5,3.0,10,9,10
155,GP,M,18,U,GT3,T,3,3,other,services,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,2,2,5,1.0,14,14,15
156,GP,F,15,U,GT3,T,2,3,other,other,course,father,1,2,0,yes,no,no,yes,no,yes,yes,no,5,2,5,1,1,5,0.0,10,11,11
157,GP,F,17,U,LE3,T,2,2,services,other,course,father,1,2,0,no,no,no,yes,no,yes,yes,no,4,3,3,1,1,3,11.0,13,12,13
158,GP,M,17,U,GT3,A,3,3,other,services,course,mother,3,2,1,no,no,no,no,yes,yes,yes,no,4,1,3,1,2,5,1.0,7,9,9
159,MS,F,16,R,GT3,T,2,2,services,other,reputation,mother,4,1,0,no,no,no,no,yes,yes,no,no,5,3,5,1,1,5,8.0,14,14,15
160,GP,F,17,U,GT3,T,3,4,services,other,reputation,mother,2,2,0,yes,no,no,yes,yes,yes,yes,no,4,5,5,2,1,4,2.0,13,14,15
161,GP,F,17,U,GT3,T,2,1,at_home,other,home,mother,2,1,0,no,no,no,no,yes,yes,yes,yes,3,3,3,1,1,1,9.0,14,15,15
162,GP,F,16,U,GT3,T,3,1,services,other,reputation,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,5,3,5,1,1,5,6.0,11,10,10
163,GP,F,18,R,GT3,T,2,1,other,other,home,father,1,3,0,no,no,no,yes,yes,yes,yes,yes,4,4,3,2,1,5,4.0,8,8,9
164,MS,M,18,U,LE3,T,2,2,services,services,home,mother,1,1,0,no,no,no,yes,yes,yes,no,no,3,3,4,1,1,1,4.0,14,13,14
165,GP,M,16,U,LE3,A,2,2,other,services,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,1,3,4.0,10,10,11
166,MS,F,19,U,LE3,T,3,4,at_home,other,home,mother,1,4,2,no,yes,no,no,yes,no,yes,no,3,1,4,3,3,5,5.0,9,11,12
167,GP,F,16,R,GT3,T,4,1,other,other,reputation,mother,1,2,0,yes,no,no,no,yes,yes,no,no,4,5,4,1,2,4,5.0,12,12,15
168,MS,F,17,R,GT3,T,1,1,at_home,other,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,1,2,1,3,4.0,13,13,13
169,GP,F,16,U,GT3,T,2,1,services,other,reputation,father,2,3,0,yes,yes,no,no,no,yes,yes,no,3,1,3,3,4,1,8.0,11,11,11
170,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,4,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,2,3,11.0,17,16,16
171,GP,M,17,U,LE3,T,4,3,health,other,course,mother,1,3,0,no,no,no,no,yes,yes,no,no,4,5,4,1,1,3,13.0,11,11,11
172,GP,F,16,R,LE3,T,2,2,at_home,other,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,5,1,1,4,5.0,12,12,12
